smiles,ee
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(/c1ccc(c(c1)Cl)Cl)\C.ClCCl,93
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccc(cc1)F)(/c1ccccc1)\C.ClCCl,95
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(/c1ccccc1C)\C.ClCCl,62
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1)C)(/c1ccccc1)\C.ClCCl,72
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1)C(F)(F)F)(/c1ccccc1)\C.ClCCl,78
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(\C)/c1ccc2c(c1)ccc(c2)OC.ClCCl,83
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)/c1cccs1.ClCCl,85
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)/c1ccccc1.ClCCl,96
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)/c1ccc(cc1)C.ClCCl,94
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)(/c1ccc(cc1)Br)\C.ClCCl,96
